Category,Company,$,Item,Case,OH (2023 left over),2024 Opening Order,OH (4/29),Thru,Order,OH (5/6),Thru,Order,OH (5/13),Thru,Order,OH (5/20),Thru,Order,OH (5/28),Thru,Order,OH (6/3),Thru,Order,OH (6/10),Thru,Order,OH (6/17),Thru,Order,OH (6/24),Thru,Order,OH (7/01),Thru ,Order,OH (7/8),Thru,Order,OH (7/15),Thru,Order,OH (7/22),Thru,Order,OH (7/29),Thru,Order,OH (8/5),THRU,Order,OH (8/12),THRU,Order,OH (8/19),THRU,Order,OH (8/26),THRU,Order,OH Bodega/Walk-In (9/3),OH AT BARS,On Hand Total,THRU ,Order,OH Bodega/Walk-In (9/9),OH AT BARS(9/9),On Hand Total,Actual THRU,Order,OH Bodega/Walk-In (9/16),OH AT BARS(9/16),On Hand Total,Actual THRU,Order,OH Bodega/Walk-In (9/23),OH AT BARS(9/23),On Hand Total,Actual THRU,Order,OH Bodega/Walk-In (10/1),OH AT BARS(10/1),On Hand Total,Actual THRU,Order,OH Bodega/Walk-In (10/7),OH AT BARS(10/7),On Hand Total,Actual THRU,Order,OH Bodega/Walk-In (10/14),OH AT BARS(10/14),MICHELLE TOOK TO CRAB,On Hand Total,Actual THRU
Rack,Southern,,Rack Vodka (absolut) $5.50 per bottle,6,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Rack Gin,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Rack Rum(castillo),12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Rack Tequila,12,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,,Rack Tequila (Olmecca Altos),6,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Triple Sec,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden
,Southern,,Peach Schnapps,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Amaretto,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Blue Curacao,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Coffee Liqueur || Cafe Lolita,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Blackberry Liqueur,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,,Aperol,6,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Union,,Creme de Menthe,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Union,,Creme de Banana Liqueur,12,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Union,,Sour Melon Liqueur,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Union,,Watermelon Liquer,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
Vodka,Southern,14,Grey Goose,6,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,14,Ketel One,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden
,Southern,14,Titos,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Empire,,Stoli,12,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Empire,14,Stoli Blueberry,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Empire,14,Stoli Raspberry,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden
,Empire,14,Stoli Orange,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Empire,,Stoli Peach,12,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,12,Absolute Citron,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,12,Absolute Vanilla,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,Hidden
,Southern,,Absolut Pear,12,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,12,Absolut(RACK VODKA),6,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,12,Absolut Mango,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden
,Southern,12,Absolut Peach,12,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,Hidden,,,Hidden,Hidden
,Southern,,Absolute Watermelon,6,Hidden,Hidden,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,,Svedka Cherry Lime Aid,12,Hidden,Hidden,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,14,Ketel One Cucumber & Mint,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,,Hidden,Hidden
,Southern,,Ketel One Grapefruit & Rosé,12,Hidden,Hidden,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
,Southern,,Ketel One Peach & Orange Botanical,12,Hidden,Hidden,Hidden,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,Hidden,Hidden,,,,,Hidden,Hidden
